UniProt.ID;Gene;Protein.Name;Panel;Tissue.Specificity;Tissue_Initials;Tissue_Initials2
1;P05231;IL6;Interleukin-6;Olink Explore Cardiometabolic- Olink Explore Inflammation- Olink Explore Neurology- Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response- Olink Target 48 Cytokine;Tissue enhanced: urinary bladder;TEUB
2;P01375;TNF;Tumor necrosis factor;Olink Explore Cardiometabolic- Olink Explore Inflammation- Olink Explore Neurology- Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
3;P10145;CXCL8;Interleukin-8;Olink Explore Cardiometabolic- Olink Explore Inflammation- Olink Explore Neurology- Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enriched: bone marrow;TEBM
4;P10147;CCL3;C-C motif chemokine 3;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: bone marrow- lung- lymphoid tissue;TEBMLLT
5;P13500;CCL2;C-C motif chemokine 2;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular III- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: urinary bladder;TEUB
6;P14210;HGF;Hepatocyte growth factor;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enriched: placenta;TEP
7;P15692;VEGFA;Vascular endothelial growth factor A;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Low tissue specificity;LTS
8;P22301;IL10;Interleukin-10;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response- Olink Target 48 Cytokine;Tissue enhanced: adipose tissue- lymphoid tissue;TEATLT
9;P29460;IL12B;Interleukin-12 subunit beta;Olink Explore Inflammation- Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Neurology- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
10;P50591;TNFSF10;Tumor necrosis factor ligand superfamily member 10;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Low tissue specificity;LTS
11;Q14116;IL18;Interleukin-18;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: esophagus- skin 1;TEES1
12;O14625;CXCL11;C-X-C motif chemokine 11;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue;TELT
13;O43508;TNFSF12;Tumor necrosis factor ligand superfamily member 12;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Low tissue specificity;LTS
14;O95760;IL33;Interleukin-33;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: urinary bladder;TEUB
15;P01133;EGF;Pro-epidermal growth factor;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Group enriched: kidney- pancreas- skeletal muscle;GEKPSM
16;P01135;TGFA;Protransforming growth factor alpha;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Oncology II- Olink Target 48 Cytokine;Tissue enhanced: brain;TEB
